user_id,gender,caste,religion,accent_score,account_age_years,prev_issues_reported,query_type,user_input,chatbot_response
U000,Male,SC/ST,Other,62.91,18,2,balance_check,How do I apply for a business loan?,Please visit our FAQ page.
U001,Female,OBC,Hindu,82.1,11,0,loan_inquiry,I need help resetting my password.,"Sure, I can walk you through that."
U002,Male,SC/ST,Hindu,91.03,2,1,account_help,How do I apply for a business loan?,Let me check that for you...
U003,Male,SC/ST,Hindu,60.36,18,1,balance_check,I need help resetting my password.,You can apply through our mobile app.
U004,Male,OBC,Other,33.06,7,2,loan_inquiry,I need help resetting my password.,Let me check that for you...
U005,Female,SC/ST,Hindu,41.32,15,2,loan_inquiry,I need help resetting my password.,You can apply through our mobile app.
U006,Male,General,Muslim,31.46,11,1,balance_check,I need help resetting my password.,Please contact customer support.
U007,Male,General,Muslim,75.73,18,2,balance_check,I need help resetting my password.,You can apply through our mobile app.
U008,Male,General,Hindu,53.26,12,0,balance_check,I need help resetting my password.,We are currently not offering that service.
U009,Female,General,Muslim,67.97,6,1,balance_check,I need help resetting my password.,Let me check that for you...
U010,Male,General,Hindu,64.53,13,0,account_help,How do I apply for a business loan?,Please visit our FAQ page.
U011,Male,General,Muslim,35.71,16,1,balance_check,I need help resetting my password.,Please contact customer support.
U012,Male,SC/ST,Muslim,58.23,18,2,loan_inquiry,I need help resetting my password.,We are currently not offering that service.
U013,Male,General,Hindu,45.44,10,1,loan_inquiry,How do I apply for a business loan?,"Sure, I can walk you through that."
U014,Female,General,Hindu,59.29,8,1,account_help,How do I apply for a business loan?,Let me check that for you...
U015,Male,OBC,Christian,44.25,18,3,loan_inquiry,How do I apply for a business loan?,Please visit our FAQ page.
U016,Female,General,Hindu,88.83,1,2,loan_inquiry,I need help resetting my password.,You can apply through our mobile app.
U017,Female,SC/ST,Hindu,42.19,8,0,balance_check,What’s my current balance?,Please visit our FAQ page.
U018,Female,General,Hindu,97.25,6,1,loan_inquiry,What’s my current balance?,"Sure, I can walk you through that."
U019,Male,SC/ST,Hindu,59.11,5,2,account_help,How do I apply for a business loan?,Please contact customer support.
U020,Female,OBC,Muslim,89.24,15,1,balance_check,What’s my current balance?,Please contact customer support.
U021,Male,General,Hindu,74.01,15,1,balance_check,How do I apply for a business loan?,Let me check that for you...
U022,Female,General,Hindu,81.47,2,0,account_help,I need help resetting my password.,Please contact customer support.
U023,Female,SC/ST,Hindu,83.74,1,1,balance_check,What’s my current balance?,Let me check that for you...
U024,Female,OBC,Muslim,65.34,11,2,balance_check,I need help resetting my password.,Let me check that for you...
U025,Female,OBC,Hindu,68.03,10,0,account_help,What’s my current balance?,Let me check that for you...
U026,Female,OBC,Muslim,65.98,18,0,balance_check,I need help resetting my password.,You can apply through our mobile app.
U027,Female,General,Hindu,71.16,18,3,account_help,What’s my current balance?,We are currently not offering that service.
U028,Female,General,Other,32.06,17,0,account_help,I need help resetting my password.,Let me check that for you...
U029,Female,General,Hindu,57.69,8,3,loan_inquiry,I need help resetting my password.,Let me check that for you...
U030,Male,SC/ST,Hindu,72.43,15,1,loan_inquiry,What’s my current balance?,We are currently not offering that service.
U031,Male,OBC,Hindu,71.84,8,1,balance_check,I need help resetting my password.,Please visit our FAQ page.
U032,Female,General,Other,85.51,17,0,balance_check,I need help resetting my password.,Let me check that for you...
U033,Female,General,Christian,75.85,12,2,account_help,I need help resetting my password.,You can apply through our mobile app.
U034,Female,General,Hindu,99.45,8,0,balance_check,What’s my current balance?,Please contact customer support.
U035,Male,General,Muslim,49.87,14,0,account_help,What’s my current balance?,Please contact customer support.
U036,Female,OBC,Christian,55.14,4,0,account_help,I need help resetting my password.,"Sure, I can walk you through that."
